1,[1]
0,[]
2,"[4, 1]"
1,[1]
1,[1]
1,[1]
0,[]
0,[]
0,[]
2,"[1, 4]"
2,"[4, 1]"
0,[]
0,[]
0,[]
1,[4]
7,"[4, 4, 4, 4, 4, 1, 4]"
4,"[4, 4, 4, 4]"
9,"[4, 4, 4, 4, 4, 4, 4, 4, 4]"
6,"[4, 4, 4, 4, 4, 4]"
9,"[4, 4, 4, 4, 4, 4, 4, 4, 0]"
16,"[4, 3, 3, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]"
41,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
3,"[4, 4, 4]"
7,"[4, 4, 4, 4, 4, 4, 4]"
4,"[4, 4, 4, 4]"
1,[3]
2,"[4, 4]"
1,[4]
0,[]
0,[]
1,[4]
0,[]
0,[]
1,[4]
0,[]
0,[]
2,"[4, 4]"
1,[4]
1,[4]
0,[]
2,"[4, 1]"
1,[4]
1,[4]
1,[4]
0,[]
0,[]
1,[3]
6,"[4, 4, 4, 4, 4, 4]"
5,"[4, 4, 4, 4, 4]"
0,[]
0,[]
0,[]
0,[]
0,[]
1,[4]
0,[]
0,[]
3,"[4, 4, 0]"
4,"[4, 4, 4, 4]"
2,"[4, 4]"
0,[]
1,[4]
0,[]
0,[]
4,"[4, 4, 4, 4]"
0,[]
2,"[4, 4]"
10,"[4, 4, 4, 4, 4, 0, 4, 4, 4, 4]"
3,"[3, 4, 4]"
6,"[4, 4, 4, 4, 4, 4]"
0,[]
1,[4]
0,[]
0,[]
0,[]
6,"[4, 4, 4, 4, 4, 4]"
1,[0]
0,[]
1,[0]
7,"[4, 4, 4, 4, 4, 4, 4]"
5,"[4, 4, 4, 4, 4]"
2,"[0, 4]"
0,[]
3,"[4, 4, 4]"
2,"[4, 4]"
2,"[4, 4]"
2,"[4, 4]"
2,"[4, 4]"
0,[]
1,[0]
0,[]
0,[]
6,"[4, 4, 4, 4, 4, 4]"
0,[]
0,[]
0,[]
2,"[4, 4]"
0,[]
1,[4]
0,[]
0,[]
4,"[4, 4, 4, 4]"
3,"[4, 4, 4]"
2,"[4, 4]"
33,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4]"
14,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
13,"[4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
17,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
14,"[4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
4,"[4, 4, 4, 3]"
4,"[3, 3, 4, 4]"
7,"[4, 4, 4, 4, 4, 4, 4]"
26,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6,"[4, 4, 4, 4, 4, 4]"
2,"[4, 4]"
1,[4]
2,"[0, 4]"
4,"[4, 4, 4, 4]"
3,"[4, 0, 4]"
5,"[4, 4, 0, 4, 4]"
5,"[4, 4, 4, 4, 4]"
3,"[4, 4, 4]"
0,[]
4,"[4, 4, 4, 4]"
1,[0]
4,"[4, 4, 4, 0]"
2,"[3, 4]"
2,"[4, 4]"
5,"[4, 4, 4, 4, 4]"
16,"[4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
24,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
23,"[4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
18,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4]"
43,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
36,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4]"
